#taskLabel	taskNamespace	runState	errorCode	runStateUpdateTime
getChromDepth_mergeChromDepth		complete	0	2016-09-30T17:37:23.523716
getChromDepth_rmTmpDir		complete	0	2016-09-30T17:37:23.721779
makeGraphTmpDir		complete	0	2016-09-30T17:37:25.550451
makeLocusGraph_chromId_000_1_0000		complete	0	2016-09-30T17:37:32.217825
makeLocusGraph_chromId_000_1_0001		complete	0	2016-09-30T17:37:28.740036
makeLocusGraph_chromId_000_1_0002		complete	0	2016-09-30T17:37:41.177017
makeLocusGraph_chromId_000_1_0003		complete	0	2016-09-30T17:37:31.930129
makeLocusGraph_chromId_000_1_0004		complete	0	2016-09-30T17:37:28.446453
makeLocusGraph_chromId_000_1_0005		complete	0	2016-09-30T17:37:47.895459
makeLocusGraph_chromId_000_1_0006		complete	0	2016-09-30T17:37:38.364495
makeLocusGraph_chromId_000_1_0007		complete	0	2016-09-30T17:37:37.910088
makeLocusGraph_chromId_000_1_0008		complete	0	2016-09-30T17:37:33.387615
makeLocusGraph_chromId_000_1_0009		complete	0	2016-09-30T17:37:26.451911
makeLocusGraph_chromId_000_1_0010		complete	0	2016-09-30T17:37:28.830980
makeLocusGraph_chromId_000_1_0011		complete	0	2016-09-30T17:37:46.432654
makeLocusGraph_chromId_000_1_0012		complete	0	2016-09-30T17:37:28.709830
makeLocusGraph_chromId_000_1_0013		complete	0	2016-09-30T17:37:42.040849
makeLocusGraph_chromId_000_1_0014		complete	0	2016-09-30T17:37:40.730084
makeLocusGraph_chromId_000_1_0015		complete	0	2016-09-30T17:37:44.990018
makeLocusGraph_chromId_000_1_0016		complete	0	2016-09-30T17:37:27.001625
makeLocusGraph_chromId_000_1_0017		complete	0	2016-09-30T17:37:44.643651
makeLocusGraph_chromId_000_1_0018		complete	0	2016-09-30T17:37:26.883020
makeLocusGraph_chromId_000_1_0019		complete	0	2016-09-30T17:37:39.931180
makeLocusGraph_chromId_000_1_0020		complete	0	2016-09-30T17:37:47.225622
makeLocusGraph_chromId_001_2_0000		complete	0	2016-09-30T17:37:35.891598
makeLocusGraph_chromId_001_2_0001		complete	0	2016-09-30T17:37:43.949860
